ԱԱ	ɑ ɑ́
Բրյուսել	pʰ ɾ ʏ s é l
Բրունեյ	pʰ ɾ u n é j
Բրուտյան	pʰ ɾ u d j ɑ́ n
Գ	kʰ ə
Գաբիկյան	kʰ ɑ pʰ i ɡ j ɑ́ n
Գաբորոնե	kʰ ɑ pʰ o ɾ ó n e
Գաբրիել	kʰ ɑ pʰ ɾ i j é l
Գագ	kʰ ɑ kʰ
Գագիկ	kʰ ɑ kʰ í ɡ
Գագո	kʰ ɑ kʰ ó
Գագուլ	kʰ ɑ kʰ ú l
Գագուլիկ	kʰ ɑ kʰ u l í ɡ
Գագրա	kʰ ɑ́ kʰ ɾ ɑ
Գադես	kʰ ɑ tʰ é s
Գազա	kʰ ɑ z ɑ́
Գազայի	kʰ ɑ z ɑ j í
Գազավոն	kʰ ɑ z ɑ v ó n
Գալեմճյան	kʰ ɑ l e m d͡ʒ j ɑ́ n
Գալեն	kʰ ɑ l é n
Գալիլեա	kʰ ɑ l i l é j ɑ
Գալիլեյ	kʰ ɑ l i l é j
Գալիլիա	kʰ ɑ l i l i j ɑ́
Գալիցիա	kʰ ɑ l í t͡sʰ i j ɑ
Գալյոնճյան	kʰ ɑ l j o n d͡ʒ j ɑ́ n
Գալուստ	kʰ ɑ l ú s t
Գալստյան	kʰ ɑ l ə s t j ɑ́ n
Գահիրե	kʰ ɑ h i ɾ é
Գաղատիա	kʰ ɑ ʁ ɑ d i j ɑ́
Գաղիանոս	kʰ ɑ ʁ i j ɑ n ó s
Գամբիա	kʰ ɑ́ m pʰ i j ɑ
Գամիրք	kʰ ɑ m í ɾ kʰ
Գայանա	kʰ ɑ j ɑ́ n ɑ
Գայանե	kʰ ɑ j ɑ n é
Գայմագճյան	kʰ ɑ j m ɑ kʰ t͡ʃ j ɑ́ n
Գանա	kʰ ɑ n ɑ́
Գանգես	kʰ ɑ́ ŋ kʰ e s
Գանդինագար	kʰ ɑ n tʰ i n ɑ kʰ ɑ́ ɾ
Գանթարճյան	kʰ ɑ n tʰ ɑ ɾ d͡ʒ j ɑ́ n
Գանիմեդ	kʰ ɑ n i m é tʰ
Գանձակ	kʰ ɑ n t͡sʰ ɑ́ ɡ
Գաշըգճյան	kʰ ɑ ʃ ə kʰ t͡ʃ j ɑ́ n
Գառնիկ	kʰ ɑ r n í ɡ
Գասապյան	kʰ ɑ s ɑ b j ɑ́ n
Գասպարյան	kʰ ɑ s p ɑ ɾ j ɑ́ n
Գավառ	kʰ ɑ v ɑ́ r
Գավգամելա	kʰ ɑ f kʰ ɑ m e l ɑ́
Գարագաշյան	kʰ ɑ ɾ ɑ kʰ ɑ ʃ j ɑ́ n
Գարամանյան	kʰ ɑ ɾ ɑ m ɑ n j ɑ́ n
Գարեգին	kʰ ɑ ɾ e kʰ í n
Գարիկ	kʰ ɑ ɾ í ɡ
Գարճյան	kʰ ɑ ɾ d͡ʒ j ɑ́ n
Գարսևան	kʰ ɑ ɾ s e v ɑ́ n
Գաֆեսճյան	kʰ ɑ f e s d͡ʒ j ɑ́ n
Գեղամ	kʰ e ʁ ɑ́ m
Գեղամյան	kʰ e ʁ ɑ m j ɑ́ n
Գեղարքունիք	kʰ e ʁ ɑ ɾ kʰ u n í kʰ
Գեռլա	kʰ é r l ɑ
Գերմանիա	kʰ e ɾ m ɑ́ n i j ɑ
Գերմանիայի	kʰ e ɾ m ɑ n i j ɑ j í
Գըրպաճյան	kʰ ə ɾ b ɑ d͡ʒ j ɑ́ n
Գիլոյան	kʰ i l o j ɑ́ n
Գինոսյան	kʰ i n o s j ɑ́ n
Գիրոկաստրա	kʰ i ɾ o ɡ ɑ́ s t ɾ ɑ
Գյանջա	kʰ j ɑ n t͡ʃʰ ɑ́
Գյոյգյոլ	kʰ j o j kʰ j ó l
Գյուլազյան	kʰ ʏ l ɑ z j ɑ́ n
Գյուլասարյան	kʰ ʏ l ɑ s ɑ ɾ j ɑ́ n
Գյուլբենկյան	kʰ ʏ l pʰ e ŋ ɡ j ɑ́ n
Գյուլեզյան	kʰ ʏ l e z j ɑ́ n
Գյումրի	kʰ ʏ m ɾ í
Գյուրջինյան	kʰ ʏ ɾ t͡ʃʰ i n j ɑ́ n
Գնել	kʰ ə n é l
Գոա	kʰ o ɑ́
Գոհար	kʰ o h ɑ́ ɾ
Գողգոթա	kʰ o χ kʰ o tʰ ɑ́
Գոճանյան	kʰ o d͡ʒ ɑ n j ɑ́ n
Գոմել	kʰ o m é l
Գոռ	kʰ o r
Գովաճյան	kʰ o v ɑ d͡ʒ j ɑ́ n
Գոտֆրիդ	kʰ o d f ɾ í tʰ
Գորդիոս	kʰ o ɾ tʰ i j ó s
Գորի	kʰ o ɾ í
Գորիս	kʰ o ɾ í s
Գորկի	kʰ o ɾ ɡ í
Գուգարք	kʰ u kʰ ɑ́ ɾ kʰ
Գուգլ	kʰ ú kʰ ə l
Գուգո	kʰ u kʰ ó
Գուգուշ	kʰ u kʰ ú ʃ
Գուգս	kʰ u kʰ s
Գուգսիկ	kʰ u kʰ s í ɡ
Գուդաութա	kʰ u tʰ ɑ ú tʰ ɑ
Գուլահճյան	kʰ u l ɑ h d͡ʒ j ɑ́ n
Գումճյան	kʰ u m d͡ʒ j ɑ́ n
Գույուճյան	kʰ u j u d͡ʒ j ɑ́ n
Գույուջյան	kʰ u j u t͡ʃʰ j ɑ́ n
Գուջարաթ	kʰ u t͡ʃʰ ɑ ɾ ɑ́ tʰ
Գուրգեն	kʰ u ɾ kʰ é n
Գվատեմալա	kʰ ə v ɑ d e m ɑ l ɑ́
Գվինեա	kʰ v i n é ɑ
Գրանիկոն	kʰ ə ɾ ɑ n i ɡ ó n
Գրենադա	kʰ ɾ e n ɑ́ tʰ ɑ
Գրենլանդիա	kʰ ɾ e n l ɑ́ n tʰ i j ɑ
Գրիգոր	kʰ ɾ i kʰ ó ɾ
Գրիգորի	kʰ ɾ i kʰ ó ɾ i
Գրիգորիոպոլիս	kʰ ɾ i kʰ o ɾ i j o b o l í s
Գրիգորյան	kʰ ɾ i kʰ o ɾ j ɑ́ n
Գրիգորուպոլ	kʰ ɾ i kʰ o ɾ u b ó l
Գրոզնի	kʰ ɾ o z n í
Գևորգ	kʰ e v ó ɾ kʰ
Գևորգյան	kʰ e v o ɾ kʰ j ɑ́ n
Դ	tʰ ə
ԴՆԹ	tʰ ə n ə tʰ ə́
Դալար	tʰ ɑ l ɑ́ ɾ
Դալմաթիա	tʰ ɑ l m ɑ́ tʰ i j ɑ
Դաղստան	tʰ ɑ ʁ ə s t ɑ́ n
Դամասկոս	d ɑ m ɑ s k ó s
Դանիա	tʰ ɑ́ n i j ɑ
Դանիել	tʰ ɑ n i j é l
Դանիելյան	tʰ ɑ n i j e l j ɑ́ n
Դանիշմենդյան	tʰ ɑ n i ʃ m e n tʰ j ɑ́ n
Դանուբ	tʰ ɑ n ú pʰ
Դավթյան	tʰ ɑ f tʰ j ɑ́ n
Դավիթ	tʰ ɑ v í tʰ
Դարակչյան	tʰ ɑ ɾ ɑ kʰ t͡ʃʰ j ɑ́ n
Դարբինյան	tʰ ɑ ɾ pʰ i n j ɑ́ n
Դարդանել	tʰ ɑ ɾ tʰ ɑ n é l
Դարեհ	tʰ ɑ ɾ é h
Դաքա	tʰ ɑ́ kʰ ɑ
Դաքեսյան	tʰ ɑ kʰ e s j ɑ́ n
Դաքքա	tʰ ɑ́ kʰː ɑ
Դեդեյան	tʰ e tʰ e j ɑ́ n
Դելի	tʰ e l í
Դելփիք	tʰ e l pʰ í kʰ
Դելֆիս	tʰ e l f í s
Դեմիրճյան	tʰ e m i ɾ d͡ʒ j ɑ́ n
Դեմոկրիտ	tʰ e m o ɡ ɾ í d
Դեմոսթենես	tʰ e m o s tʰ e n é s
Դետրոյտ	tʰ e d ɾ ó j d
Դերենիկ	tʰ e ɾ e n í ɡ
Դի	tʰ i
Դիանա	tʰ i j ɑ́ n ɑ
Դիարբեքիր	tʰ i j ɑ ɾ pʰ e kʰ í ɾ
Դիլիջան	tʰ i l i t͡ʃʰ ɑ́ n
Դիմատետր	tʰ i m ɑ d é d ə ɾ
Դինգիլյան	tʰ i ŋ kʰ i l j ɑ́ n
Դիշչյան	tʰ i ʃ t͡ʃʰ j ɑ́ n
Դիոգենես	tʰ i j o kʰ e n é s
Դիոկղետիանոս	tʰ i j o ɡ ʁ e d i j ɑ n ó s
Դիոմեդես	tʰ i j o m e tʰ é s
Դիոնիս	tʰ i j o n í s
Դիոնիսոս	tʰ j o n i s ó s
Դնեպր	tʰ ə n é b ə ɾ
Դնեստր	tʰ n é s t ə ɾ
Դնչիկ	tʰ ə n t͡ʃʰ í ɡ
Դոբրուջա	tʰ o pʰ ɾ ú t͡ʃʰ ɑ
Դոլաշյան	tʰ o l ɑ ʃ j ɑ́ n
Դոլմայան	tʰ o l m ɑ j ɑ́ n
Դոլմաջյան	tʰ o l m ɑ t͡ʃʰ j ɑ́ n
Դոհա	tʰ o h ɑ́
Դոհա	tʰ ó h ɑ
Դողրամաջյան	tʰ o ʁ ɾ ɑ m ɑ t͡ʃʰ j ɑ́ n
Դոմինիկա	tʰ o m i n i ɡ ɑ́
Դոմինիկոս	tʰ o m i n i ɡ ó s
Դոն	tʰ o n
Դոնդուրմաջյան	tʰ o n tʰ u ɾ m ɑ t͡ʃʰ j ɑ́ n
Դոնի	tʰ o n í
Դորպատ	tʰ ó ɾ b ɑ d
Դուբայ	tʰ u pʰ ɑ́ j
Դուբլին	tʰ u pʰ l í n
Դուբլին	tʰ ú pʰ l i n
Դուբոսար	tʰ u pʰ o s ɑ́ ɾ
Դուբոսարի	tʰ u pʰ o s ɑ́ ɾ i
Դուբրովնիկ	tʰ u pʰ ɾ o v n í ɡ
Դուդուկչյան	tʰ u tʰ u kʰ t͡ʃʰ j ɑ́ n
Դուշանբե	tʰ u ʃ ɑ n pʰ é
Դուրգարյան	tʰ u ɾ kʰ ɑ ɾ j ɑ́ n
Դուք	tʰ u kʰ
Դրասխանակերտ	tʰ ɾ ɑ s χ ɑ n ɑ ɡ é ɾ d
Դրաստամատ	tʰ ə ɾ ɑ s t ɑ m ɑ́ d
Դևեջյան	tʰ e v e t͡ʃʰ j ɑ́ n
Ե	e
Ե	j e
ԵԱՀԿ	j e ɑ h ə ɡ ə́
ԵԱՏՄ	j e ɑ d ə m ə́
ԵԽ	j e χ ə́
ԵՄ	j e m ə́
ԵՊՀ	j e b ə h ə́
ԵՏՄ	j e d ə m ə́
Եգարյան	j e kʰ ɑ ɾ j ɑ́ n
Եգիպտոս	j e kʰ i b d ó s
Եդեսիա	j e tʰ e s i j ɑ́
Եզոպոս	j e z o b ó s
Եզր	j é z ə ɾ
Եզրաս	j e z ɾ ɑ́ s
Եթովպիա	j e tʰ o f b i j ɑ́
Ելենա	j e l é n ɑ
Ելիսեյ	j e l i s é j
Ելցին	j e l t͡sʰ í n
Ելցին	j é l t͡sʰ i n
Եկատերինբուրգ	j e ɡ ɑ d e ɾ i n pʰ ú ɾ kʰ
Եկարյան	j e ɡ ɑ ɾ j ɑ́ n
Եկբատան	j e kʰ pʰ ɑ d ɑ́ n
Եհովա	j e h o v ɑ́
Եհովայի	j e h o v ɑ j í
Եղեգնաձոր	j e ʁ e kʰ n ɑ t͡sʰ ó ɾ
Եղիա	j e ʁ i j ɑ́
Եղիազար	j e ʁ i j ɑ z ɑ́ ɾ
Եղիազարյան	j e ʁ i j ɑ z ɑ ɾ j ɑ́ n
Եղիշե	j e ʁ i ʃ é
Եղիսաբեթ	j e ʁ i s ɑ pʰ é tʰ
Եղիսե	j e ʁ i s é
Եմեն	j e m é n
Եմեն	j é m e n
Ենիսեյ	j e n i s é j
Եպիփանես	j e b i pʰ ɑ n é s
Եսայան	j e s ɑ j ɑ́ n
Եսայի	j e s ɑ j í
Եսավ	j e s ɑ́ v
Եսթեր	j e s tʰ é ɾ
Եվա	j e v ɑ́
Եվգենի	j e f kʰ é n i
Եվգենիոս	j e f kʰ e n i j ó s
Եվգենյա	j e f kʰ é n j ɑ
Եվսեբիոս	j e f s e pʰ j ó s
Եվրախորհուրդ	j e v ɾ ɑ χ o ɾ ú ɾ tʰ
Եվրախորհրդարան	j e v ɾ ɑ χ o ɾ ə ɾ tʰ ɑ ɾ ɑ́ n
Եվրահանձնաժողով	j e v ɾ ɑ h ɑ n t͡sʰ n ɑ ʒ o ʁ ó v
Եվրամիություն	j e v ɾ ɑ m i j u tʰ ʏ́ n
Եվրասիա	j e v ɾ ɑ s i j ɑ́
Եվրասիա	j e v ɾ ɑ́ s i j ɑ
Եվրատեսիլ	j e v ɾ ɑ d e s í l
Եվրիպիդես	j e v ɾ i b i tʰ é s
Եվրոպա	j e v ɾ o b ɑ́
Եվրոպա	j e v ɾ ó b ɑ
Եվրոպայի	j e v ɾ o b ɑ j í
Եվրոպայում	j e v ɾ o b ɑ j ú m
Երազգավորս	j e ɾ ɑ s kʰ ɑ v ó ɾ s
Երասխ	j e ɾ ɑ́ s χ
Երեմեյ	j e ɾ e m é j
Երեմիա	j e ɾ e m i j ɑ́
Երեմյան	j e ɾ e m j ɑ́ n
Երիմանթոս	j e ɾ i m ɑ n tʰ ó s
Երիքով	j e ɾ i kʰ ó v
Երկիր	j e ɾ ɡ í ɾ
Երկվորյակներ	j e ɾ ɡ v o ɾ j ɑ ɡ n é ɾ
Երուսաղեմ	j e ɾ u s ɑ ʁ é m
Երվազ	j e ɾ v ɑ́ z
Երվանդ	j e ɾ v ɑ́ n tʰ
Երվինյան	j e ɾ v i n j ɑ́ n
Երևակ	j e ɾ e v ɑ́ ɡ
Երևան	j e ɾ e v ɑ́ n
Եփեսոս	j e pʰ e s ó s
Եփրատ	j e pʰ ɾ ɑ́ d
Եփրեմ	j e pʰ ɾ é m
Եֆրեմ	j e f ɾ é m
Զ	z ə
ԶԼՄ	z ə l ə m ə́
Զադոյան	z ɑ tʰ o j ɑ́ n
Զալցբուրգ	z ɑ l t͡sʰ pʰ ú ɾ kʰ
Զալցբուրգ	z ɑ́ l t͡sʰ pʰ u ɾ kʰ
Զախար	z ɑ χ ɑ́ ɾ
Զախարի	z ɑ χ ɑ́ ɾ i
Զախարյան	z ɑ χ ɑ ɾ j ɑ́ n
Զանգի	z ɑ ŋ kʰ í
Զապորոժիե	z ɑ b o ɾ ó ʒ i j e
Զավեն	z ɑ v é n
Զավզավաթճյան	z ɑ v z ɑ v ɑ tʰ t͡ʃ j ɑ́ n
Զարդարյան	z ɑ ɾ tʰ ɑ ɾ j ɑ́ n
Զարեհ	z ɑ ɾ é h
Զարմանյան	z ɑ ɾ m ɑ n j ɑ́ n
Զարուհի	z ɑ ɾ u h í
Զաքարիա	z ɑ kʰ ɑ ɾ i j ɑ́
Զաքարյան	z ɑ kʰ ɑ ɾ j ɑ́ n
Զեմպերեկճյան	z e m b e ɾ e ɡ d͡ʒ j ɑ́ n
Զեմպերեքճյան	z e m b e ɾ e kʰ t͡ʃ j ɑ́ n
Զեմֆիրա	z e m f i ɾ ɑ́
Զեյնալյան	z e j n ɑ l j ɑ́ n
Զենճիրճյան	z e n d͡ʒ i ɾ d͡ʒ j ɑ́ n
Զենոն	z e n ó n
Զենջիրջյան	z e n t͡ʃʰ i ɾ t͡ʃʰ j ɑ́ n
Զեփյուռ	z e pʰ ʏ́ r
Զիլճյան	z i l d͡ʒ j ɑ́ n
Զինճիրճյան	z i n d͡ʒ i ɾ d͡ʒ j ɑ́ n
Զինջիրջյան	z i n t͡ʃʰ i ɾ t͡ʃʰ j ɑ́ n
Զմյուռնիա	z m ʏ r n i j ɑ́
Զոհրաբ	z o h ɾ ɑ́ pʰ
Զոյա	z o j ɑ́
Զոյա	z ó j ɑ
Զորաբաբել	z o ɾ ɑ pʰ ɑ pʰ é l
Զորիկ	z o ɾ í ɡ
Զվարթ	z ə v ɑ́ ɾ tʰ
Զրադաշտ	z ə ɾ ɑ tʰ ɑ́ ʃ t
Զևս	z e f s
Զևքսիս	z e f kʰ s í s
Է	e
Էբերդին	e pʰ e ɾ tʰ í n
Էդգար	e tʰ kʰ ɑ́ ɾ
Էդեսսա	e tʰ e sː ɑ́
Էդմոն	e tʰ m ó n
Էդո	e tʰ ó
Էդուլ	e tʰ ú l
Էդուլիկ	e tʰ u l í ɡ
Էդվարդ	e tʰ v ɑ́ ɾ tʰ
Էլար	e l ɑ́ ɾ
Էլբակյան	e l pʰ ɑ ɡ j ɑ́ n
Էլեն	e l é n
Էլեքճյան	e l e kʰ t͡ʃ j ɑ́ n
Էլզաս	e l z ɑ́ s
Էլիստա	e l i s t ɑ́
Էլչիբեյ	e l t͡ʃʰ i pʰ é j
Էկվադոր	e ɡ v ɑ tʰ ó ɾ
Էմիլ	e m í l
Էմին	e m í n
Էմպեդոկլես	e m b e tʰ o ɡ l é s
Էյերճյան	e j e ɾ d͡ʒ j ɑ́ n
Էնգելս	é ŋ kʰ e l s
Էնֆիաջյան	e n f i j ɑ t͡ʃʰ j ɑ́ n
Էնֆիեճյան	e n f i j e d͡ʒ j ɑ́ n
Էպիկուր	e b i ɡ ú ɾ
Էպիրոս	e b i ɾ ó s
Էջմիածին	e t͡ʃʰ m i j ɑ d͡z í n
Էստոնիա	e s t ó n i j ɑ
Էսքիլես	e s kʰ i l é s
Էսքիլոս	e s kʰ i l ó s
Էվրիպիդես	e v ɾ i b i tʰ é s
Էրեբունի	e ɾ e pʰ u n í
Էրզրում	e ɾ z ə ɾ ú m
Էրիկ	e ɾ í ɡ
Էրիտրեա	e ɾ i d ɾ é ɑ
Էրոս	e ɾ ó s
Էքմեքջյան	e kʰ m e kʰ t͡ʃʰ j ɑ́ n
Էքսերճյան	e kʰ s e ɾ d͡ʒ j ɑ́ n
Էքսերջյան	e kʰ s e ɾ t͡ʃʰ j ɑ́ n
Ը	ə
Թ	tʰ ə
Թադևոսյան	tʰ ɑ tʰ e v o s j ɑ́ n
Թաթարստան	tʰ ɑ tʰ ɑ ɾ s t ɑ́ n
Թաթուլ	tʰ ɑ tʰ ú l
Թաթուլյան	tʰ ɑ tʰ u l j ɑ́ n
Թաիլանդ	tʰ ɑ j l ɑ́ n tʰ
Թալես	tʰ ɑ l é s
Թալիբան	tʰ ɑ l i pʰ ɑ́ n
Թալին	tʰ ɑ l í n
Թախտաջյան	tʰ ɑ χ t ɑ t͡ʃʰ j ɑ́ n
Թահաթ	tʰ ɑ h ɑ́ tʰ
Թահմազ	tʰ ɑ h m ɑ́ z
Թահմազյան	tʰ ɑ h m ɑ z j ɑ́ n
Թամիլնադ	tʰ ɑ m i l n ɑ́ tʰ
Թայբեյ	tʰ ɑ j pʰ é j
Թայմիր	tʰ ɑ j m í ɾ
Թայվան	tʰ ɑ j v ɑ́ n
Թաշճյան	tʰ ɑ ʃ d͡ʒ j ɑ́ n
Թասլաքյան	tʰ ɑ s l ɑ kʰ j ɑ́ n
Թավուքճյան	tʰ ɑ v u kʰ t͡ʃ j ɑ́ n
Թավրիզ	tʰ ɑ v ɾ í z
Թարախչյան	tʰ ɑ ɾ ɑ χ t͡ʃʰ j ɑ́ n
Թարթառ	tʰ ɑ ɾ tʰ ɑ́ r
Թարխանյան	tʰ ɑ ɾ χ ɑ n j ɑ́ n
Թբիլիսի	tʰ ə pʰ i l í s i
Թեբե	tʰ e pʰ é
Թելավ	tʰ e l ɑ́ v
Թելավի	tʰ e l ɑ́ v i
Թելֆեյան	tʰ e l f e j ɑ́ n
Թեհրան	tʰ e h ɾ ɑ́ n
Թեմզա	tʰ é m z ɑ
Թենեդոս	tʰ e n e tʰ ó s
Թենեդոս	tʰ e n é tʰ o s
Թեոգնիդես	tʰ e o kʰ n i tʰ é s
Թեոդոսիա	tʰ e o tʰ ó s i j ɑ
Թեսալիա	tʰ e s ɑ́ l i j ɑ
Թեսևս	tʰ e s é f s
Թերմոպիլե	tʰ e ɾ m o b i l é
Թեքսաս	tʰ e kʰ s ɑ́ s
Թեքսաս	tʰ é kʰ s ɑ s
Թթուջուր	tʰ ə tʰ u t͡ʃʰ ú ɾ
Թիֆլիս	tʰ i f l í s
Թհիմփհու	tʰ h i m pʰ h ú
Թյուրինգիա	tʰ ʏ ɾ í ŋ kʰ i j ɑ
Թոմաս	tʰ o m ɑ́ s
Թոմասյան	tʰ o m ɑ s j ɑ́ n
Թովմաս	tʰ o v m ɑ́ s
Թովմասյան	tʰ o v m ɑ s j ɑ́ n
Թորգոմ	tʰ o ɾ kʰ ó m
Թորոյան	tʰ o ɾ o j ɑ́ n
Թորոս	tʰ o ɾ ó s
Թորոսյան	tʰ o ɾ o s j ɑ́ n
Թուզճյան	tʰ u z d͡ʒ j ɑ́ n
Թութունճյան	tʰ u tʰ u n d͡ʒ j ɑ́ n
Թութունջյան	tʰ u tʰ u n t͡ʃʰ j ɑ́ n
Թուլումբաջյան	tʰ u l u m pʰ ɑ t͡ʃʰ j ɑ́ n
Թուլումպաճյան	tʰ u l u m b ɑ d͡ʒ j ɑ́ n
Թուկիդիդես	tʰ u ɡ i tʰ i tʰ é s
Թուղլաճյան	tʰ u ʁ l ɑ d͡ʒ j ɑ́ n
Թուն	tʰ u n
Թունիս	tʰ u n í s
Թուրին	tʰ u ɾ í n
Թուրքեստան	tʰ u ɾ kʰ e s t ɑ́ n
Թուրքիա	tʰ u ɾ kʰ i j ɑ́
Թուրքմենստան	tʰ u ɾ kʰ m e n s t ɑ́ n
Թոփալյան	tʰ o pʰ ɑ l j ɑ́ n
Թոփուզյան	tʰ o pʰ u z j ɑ́ n
Թռփանճյան	tʰ ə r pʰ ɑ n d͡ʒ j ɑ́ n
Թվիթեր	tʰ v i tʰ é ɾ
Թվիթեր	tʰ v í tʰ e ɾ
Թրակիա	tʰ ə ɾ ɑ́ ɡ i j ɑ
Թրամփ	tʰ ə ɾ ɑ́ m pʰ
Թրանսիլվանիա	tʰ ɾ ɑ n s i l v ɑ́ n i j ɑ
Թրփանճյան	tʰ ə ɾ pʰ ɑ n d͡ʒ j ɑ́ n
Ժ	ʒ ə
Ժամկոչյան	ʒ ɑ m ɡ o t͡ʃʰ j ɑ́ n
Ժընև	ʒ ə n é v
Ժիրայր	ʒ i ɾ ɑ́ j ɾ
Ժնև	ʒ n e v
Ժնև	ʒ ə n é v
Ժորա	ʒ o ɾ ɑ́
Ի	i
ԻԻՀ	i i h ə́
Իբիկոս	i pʰ i ɡ ó s
Իգնատի	i kʰ n ɑ́ d i
Իգնատիոս	i kʰ n ɑ d i j ó s
Իզմիր	i z m í ɾ
Իթակե	i tʰ ɑ́ ɡ e
Իժևսկ	i ʒ é f s k
Իլանջյան	i l ɑ n t͡ʃʰ j ɑ́ n
Իլիոն	i l i j ó n
Իլլիրիա	i lː í ɾ i j ɑ
Իլհամ	i l h ɑ́ m
Իլյա	i l j ɑ́
Իլով	i l ó v
Իմերեթ	i m e ɾ é tʰ
Իմերեթիա	i m e ɾ é tʰ i j ɑ
Իյնեճյան	i j n e d͡ʒ j ɑ́ n
Ինգա	i ŋ kʰ ɑ́
Ինգուշեթիա	i ŋ kʰ u ʃ é tʰ i j ɑ
Ինգուշիա	i ŋ kʰ ú ʃ i j ɑ
Ինդոնեզիա	i n tʰ o n é z i j ɑ
Ինդոս	i n tʰ ó s
Ինդոստան	i n tʰ o s t ɑ́ n
Ինեքճյան	i n e kʰ t͡ʃ j ɑ́ n
Ինճիճյան	i n d͡ʒ i d͡ʒ j ɑ́ n
Ինստագրամ	i n s t ɑ kʰ ɾ ɑ́ m
Իշխանյան	i ʃ χ ɑ n j ɑ́ n
Իջևան	i t͡ʃʰ e v ɑ́ n
Իռլանդիա	i r l ɑ́ n tʰ i j ɑ
Իսախանյան	i s ɑ χ ɑ n j ɑ́ n
Իսահակ	i s ɑ h ɑ́ ɡ
Իսթանպուլ	i s tʰ ɑ n b ú l
Իսլամաբադ	i s l ɑ m ɑ pʰ ɑ́ tʰ
Իսլանդիա	i s l ɑ́ n tʰ i j ɑ
Իսկանդարյան	i s k ɑ n tʰ ɑ ɾ j ɑ́ n
Իսկեճյան	i s k e d͡ʒ j ɑ́ n
Իսմայիլի	i s m ɑ j i l í
Իսպանիա	i s p ɑ́ n i j ɑ
Իսսոս	í sː o s
Իսրայել	i s ɾ ɑ j é l
Իսրայելյան	i s ɾ ɑ j e l j ɑ́ n
Իսքեճյան	i s kʰ e d͡ʒ j ɑ́ n
Իվան	i v ɑ́ n
Իվանե	i v ɑ n é
Իվանովո	i v ɑ n o v ó
Իտալիա	i d ɑ́ l i j ɑ
Իտանագար	i d ɑ n ɑ kʰ ɑ́ ɾ
Իրան	i ɾ ɑ́ n
Իրաք	i ɾ ɑ́ kʰ
Իրկուտսկ	i ɾ ɡ ú d s k
Իփիգենիա	i pʰ i kʰ e n i j ɑ́
Իֆիգենիա	i f i kʰ e n i j ɑ́
Լ	l ə
ԼՂԻՄ	l ə ʁ í m
ԼՂՀ	l ə ʁ ə h ə́
Լադոգա	l ɑ́ tʰ o kʰ ɑ
Լաթաքիա	l ɑ tʰ ɑ kʰ i j ɑ́
Լայպցիգ	l ɑ j pʰ t͡sʰ í kʰ
Լաոս	l ɑ ó s
Լատիոն	l ɑ d i j ó n
Լատվիա	l ɑ́ d v i j ɑ
Լացիում	l ɑ t͡sʰ i j ú m
Լեհաստան	l e h ɑ s t ɑ́ n
Լեյդեն	l e j tʰ é n
Լեյդեն	l é j tʰ e n
Լենա	l e n ɑ́
Լենին	l e n í n
Լենինական	l e n i n ɑ ɡ ɑ́ n
Լեռնիկ	l e r n í ɡ
Լեսբոս	l e s pʰ ó s
Լեսոթո	l e s ó tʰ o
Լեստեր	l é s t e ɾ
Լիանա	l i j ɑ n ɑ́
Լիբանան	l i pʰ ɑ n ɑ́ n
Լիբերիա	l i pʰ é ɾ i j ɑ
Լիբիա	l í pʰ i j ɑ
Լիբրևիլ	l i pʰ ɾ e v í l
Լիգուրիա	l i kʰ ú ɾ i j ɑ
Լիլիթ	l i l í tʰ
Լիլոնգվե	l i l ó ŋ kʰ v e
Լիխտենշտեյն	l i χ t e n ʃ t é j n
Լիկիա	l i ɡ i j ɑ́
Լիմա	l í m ɑ
Լիմասոլ	l i m ɑ s ó l
Լիմպոպո	l i m b o b ó
Լինց	l i n t͡sʰ
Լիոն	l i j ó n
Լիպարիտ	l i b ɑ ɾ í d
Լիպարիտյան	l i b ɑ ɾ i d j ɑ́ n
Լիսաբոն	l i s ɑ pʰ ó n
Լիվերպուլ	l i v e ɾ b ú l
Լիտվա	l i d v ɑ́
Լճաշեն	l ə d͡ʒ ɑ ʃ é n
Լյուբլյանա	l ʏ pʰ l j ɑ́ n ɑ
Լյուդովիկոս	l ʏ tʰ o v i ɡ ó s
Լյուդվիգ	l ʏ tʰ v í kʰ
Լյուլեճյան	l ʏ l e d͡ʒ j ɑ́ n
Լյուկիա	l ʏ ɡ i j ɑ́
Լյուրիկե	l ʏ ɾ i ɡ é
Լյուքսեմբուրգ	l ʏ kʰ s e m pʰ ú ɾ kʰ
Լոզան	l o z ɑ́ n
Լոթարինգիա	l o tʰ ɑ ɾ i ŋ kʰ i j ɑ́
Լոկրիս	l o ɡ ɾ í s
Լոձ	l o t͡sʰ
Լոնդոն	l o n tʰ ó n
Լոռի	l o r í
Լոս	l o s
Լուանդա	l u ɑ́ n tʰ ɑ
Լուար	l u ɑ́ ɾ
Լուարա	l u ɑ́ ɾ ɑ
Լուդովիկոս	l u tʰ o v i ɡ ó s
Լութեր	l ú tʰ e ɾ
Լուսաբեր	l u s ɑ pʰ é ɾ
Լուսին	l u s í n
Լուսինե	l u s i n é
Լուսինյան	l u s i n j ɑ́ n
Լուսնթագ	l u s ə n tʰ ɑ́ kʰ
Լուսո	l u s ó
Լուվեն	l u v é n
